Name		chromosome	base_pair_location	other_allele	effect_allele	Trait	Cohort	Model	beta	ci_lower	ci_upper	p_value	effect_allele_frequency	standard_error	Rank	CRISPR gene?	Our p-val
SETD1A	ENSG00000099381).GENE.M3.0001	16	30958731	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0757586	-0.150149	-0.00136859	0.0459315	0.000726873	0.999273	4062	SETD1A	0.002133963
MEF2B	ENSG00000213999).GENE.M3.0001	19	19145796	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.13659	0.0014821	0.271699	0.0475392	0.000230946	0.999769	4164	MEF2B	0.695113628
CNOT3	ENSG00000088038).GENE.M3.001	19	54142978	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0843655	0.000113139	0.168618	0.0496931	0.000594383	0.999405	4305	CNOT3	0.061283693
HSPE1	ENSG00000115541).GENE.M3.001	2	197500436	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.187308	-3.30E-05	0.37465	0.0500403	0.000115473	0.999885	4331	HSPE1	0.265297247
CPSF4	ENSG00000160917).GENE.M3.001	7	99439082	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.120797	-0.241707	0.000112679	0.0502139	0.000274705	0.999725	4345	CPSF4	0.32729242
POLRMT	ENSG00000099821).GENE.M1.01	19	617273	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0760687	-0.152409	0.000271198	0.0508195	0.000722011	1.00265	4395	POLRMT	0.283712153
PPARD	ENSG00000112033).GENE.M3.001	6	35347137	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0807878	-0.162019	0.000443433	0.0512638	0.000610184	0.999389	4421	PPARD	0.159448047
MRPL11	ENSG00000174547).GENE.M1.01	11	66436006	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.112364	-0.225488	0.000759587	0.0515583	0.000317247	0.999683	4440	MRPL11	0.340283205
PPIL2	ENSG00000100023).GENE.M3.0001	22	21666099	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0959733	-0.192804	0.000857024	0.0520625	0.000427858	0.999572	4468	PPIL2	0.010024224
SCAF4	ENSG00000156304).GENE.M1.singleton	21	31671398	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.317475	-0.638473	0.00352391	0.0525686	3.89E-05	0.999961	4493	SCAF4	0.145836027
ZC3H4	ENSG00000130749).GENE.M1.01	19	47066355	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0491921	-0.0992276	0.000843354	0.0539885	0.00168955	0.998308	4588	ZC3H4	0.267106704
ZBTB2	ENSG00000181472).GENE.M3.001	6	151365520	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.138247	-0.28031	0.0038166	0.0564806	0.000199343	0.999801	4762	ZBTB2	0.131176548
PET117	ENSG00000232838).GENE.M1.0001	20	18137955	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.427768	-0.0130238	0.868559	0.0571641	2.07E-05	0.999979	4824	PET117	0.131526167
RAPGEF4	ENSG00000091428).GENE.M1.001	2	172735983	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.121742	-0.249277	0.00579347	0.0613548	0.000249179	0.999751	5088	RAPGEF4	0.383578296
NUDC	ENSG00000090273).GENE.M3.0001	1	26921848	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.134517	-0.275501	0.00646707	0.0614757	0.000204205	0.999796	5098	NUDC	0.383600913
ATP11A	ENSG00000068650).GENE.M3.singleton	13	112690416	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.131095	-0.26881	0.00662091	0.0620784	0.000211498	0.999788	5132	ATP11A	0.393288698
TMEM30A	ENSG00000112697).GENE.M1.0001	6	75256101	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.288083	-0.0150909	0.591257	0.0625461	4.38E-05	0.999956	5166	TMEM30A	0.033889142
SLC35A2	ENSG00000102100).GENE.M1.001	23	48903363	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.21197	-0.435475	0.0115354	0.0630544	5.59E-05	1.43475	5201	SLC35A2	0.000401697
MIER3	ENSG00000155545).GENE.M3.0001	5	56923127	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.127706	-0.262532	0.00711926	0.0633865	0.000221222	0.999779	5227	MIER3	0.023142313
ZNF830	ENSG00000198783).GENE.M3.singleton	17	34961566	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.258877	-0.532931	0.0151762	0.0641081	5.35E-05	0.999947	5269	ZNF830	0.067727059
PRR3	ENSG00000204576).GENE.M3.001	6	30557344	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.170591	-0.351605	0.0104226	0.0647311	0.000122766	0.999877	5305	PRR3	0.441104611
ZC3H13	ENSG00000123200).GENE.M3.1	13	45957126	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0194501	-0.00121499	0.0401152	0.065077	0.00956482	0.991369	5323	ZC3H13	0.624457844
TMEM199	ENSG00000244045).GENE.M1.0001	17	28357670	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.333717	-0.690195	0.0227605	0.0665318	3.16E-05	0.999968	5419	TMEM199	0.38617023
GAGE1	ENSG00000205777).GENE.M1.001	23	49600174	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.250236	-0.517962	0.0174891	0.0669618	5.59E-05	0.999944	5456	GAGE1	0.10575206
RPUSD4	ENSG00000165526).GENE.M1.0001	11	126203417	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.213875	-0.442917	0.0151664	0.0672228	7.66E-05	0.999923	5474	RPUSD4	0.236011507
RALGAPB	ENSG00000170471).GENE.M3.01	20	38488432	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0412792	-0.00302103	0.0855795	0.0678043	0.00205178	0.999131	5514	RALGAPB	0.03271714
NCBP1	ENSG00000136937).GENE.M1.singleton	9	97633881	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.435112	-0.904314	0.0340892	0.0691306	1.82E-05	0.999982	5591	NCBP1	0.419240854
ZNF442	ENSG00000198342).GENE.M1.01	19	12349700	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0473467	-0.0985025	0.00380922	0.0696748	0.00161541	0.999889	5624	ZNF442	0.038168958
DYRK1A	ENSG00000157540).GENE.M3.0001	21	37420374	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0952805	-0.00772182	0.198283	0.0698271	0.000378023	0.999622	5637	DYRK1A	0.550884706
GPN3	ENSG00000111231).GENE.M1.001	12	110453033	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.103324	-0.00842478	0.215073	0.069955	0.000322109	0.999678	5648	GPN3	0.147631648
YKT6	ENSG00000106636).GENE.M1.0001	7	44201135	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.683621	-1.42546	0.0582214	0.0708962	7.29E-06	0.999993	5704	YKT6	0.002541508
MBTPS1	ENSG00000140943).GENE.M3.001	16	84054448	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0364987	-0.0761971	0.00319966	0.0715466	0.00255986	0.998386	5740	MBTPS1	0.23102557
USF2	ENSG00000105698).GENE.M3.01	19	35269101	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.107595	-0.224695	0.00950378	0.0717197	0.000307523	0.999692	5753	USF2	0.017192252
IRF2BP2	ENSG00000168264).GENE.M3.singleton	1	234607136	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.225945	-0.472311	0.0204211	0.0722556	6.69E-05	0.999933	5787	IRF2BP2	0.421446762
ONECUT1	ENSG00000169856).GENE.M1.0001	15	52757554	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.332997	-0.696333	0.0303403	0.0724472	3.04E-05	0.99997	5804	ONECUT1	0.512416916
RC3H1	ENSG00000135870).GENE.M1.0001	1	173938720	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.189261	-0.397479	0.0189576	0.0748282	9.36E-05	0.999906	5945	RC3H1	0.541132639
LONP1	ENSG00000196365).GENE.M3.001	19	5692031	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0415973	-0.00418178	0.0873764	0.0749243	0.00201896	0.997977	5954	LONP1	0.688372853
ZNF320	ENSG00000182986).GENE.M1.singleton	19	52880595	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.535	-1.12423	0.0542275	0.0751439	1.22E-05	0.999988	5975	ZNF320	0.467688554
SPDYE1	ENSG00000136206).GENE.M3.singleton	7	44001025	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.377565	-0.794498	0.0393682	0.0759148	2.31E-05	0.999977	6027	SPDYE1	0.456102692
GSC	ENSG00000133937).GENE.M1.0001	14	94768490	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.35021	-0.0369778	0.737397	0.0762651	2.67E-05	0.999973	6051	GSC	0.446031758
GPN1	ENSG00000198522).GENE.M1.0001	2	27628707	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.148247	-0.0157156	0.312209	0.0763773	0.000150723	0.999849	6056	GPN1	0.144587129
IQCF1	ENSG00000173389).GENE.M3.001	3	51894889	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.103812	-0.0115881	0.219212	0.077875	0.000301446	0.999698	6136	IQCF1	0.59014267
WDR61	ENSG00000140395).GENE.M3.singleton	15	78283431	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.268523	-0.0300895	0.567136	0.0779899	4.50E-05	0.999955	6142	WDR61	0.41940878
MBTPS2	ENSG00000012174).GENE.M3.001	23	21839734	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.119668	-0.01348	0.252816	0.0781477	0.00016774	1.34772	6151	MBTPS2	0.06853934
ZNF287	ENSG00000141040).GENE.M1.singleton	17	16551855	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.303011	-0.0345331	0.640554	0.0785018	3.52E-05	0.999965	6172	ZNF287	0.000288832
PKD1	ENSG00000008710).GENE.M1.0001	16	2089726	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.102706	-0.217479	0.0120671	0.0794484	0.000305092	0.999695	6221	PKD1	0.225797412
UQCC1	ENSG00000101019).GENE.M3.singleton	20	35303934	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.249425	-0.529906	0.0310563	0.0813428	5.11E-05	0.999949	6320	UQCC1	0.172324231
VPS72	ENSG00000163159).GENE.M3.01	1	151176643	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0578467	-0.123036	0.00734238	0.081998	0.000956604	0.999042	6349	VPS72	0.267675061
YJEFN3	ENSG00000250067).GENE.M1.001	19	19528932	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.212438	-0.452827	0.0279519	0.083262	7.29E-05	0.999927	6419	YJEFN3	0.222228642
FRYL	ENSG00000075539).GENE.M3.1	4	48499421	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0258386	-0.00342212	0.0550993	0.0834979	0.00472954	0.997314	6433	FRYL	0.226670573
DENND4A	ENSG00000174485).GENE.M3.0001	15	65661850	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0653766	-0.00870921	0.139462	0.0837091	0.000729304	1.00261	6446	DENND4A	0.007516308
SURF1	ENSG00000148290).GENE.M1.001	9	133351912	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0829828	-0.0118022	0.177768	0.0861772	0.000447307	0.999552	6584	SURF1	0.263385406
EIF3C	ENSG00000184110).GENE.M3.001	16	28711686	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0909867	-0.0129721	0.194945	0.0862724	0.000371945	0.999628	6590	EIF3C	0.026972781
WDR18	ENSG00000065268).GENE.M1.0001	19	984353	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.221233	-0.47463	0.0321646	0.0870481	6.56E-05	0.999934	6638	WDR18	0.731009426
BCL6	ENSG00000113916).GENE.M1.0001	3	187722457	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.599327	-0.0873409	1.286	0.0871428	8.51E-06	0.999991	6644	BCL6	0.265013001
MGAT1	ENSG00000131446).GENE.M3.singleton	5	180791633	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.199278	-0.430237	0.031681	0.0908152	7.54E-05	0.999925	6823	MGAT1	0.320960898
PIK3C3	ENSG00000078142).GENE.M3.0001	18	41955291	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0706545	-0.0112622	0.152571	0.0909323	0.000598029	0.999402	6828	PIK3C3	0.077318803
STT3A	ENSG00000134910).GENE.M3.0001	11	125595915	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0945732	-0.015678	0.204824	0.092714	0.000330618	0.999669	6918	STT3A	0.361641704
TREM1	ENSG00000124731).GENE.M3.singleton	6	41267934	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.357735	-0.0595711	0.775041	0.0929231	2.31E-05	0.999977	6929	TREM1	0.041485035
CCDC22	ENSG00000101997).GENE.M3.01	23	49235636	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0306384	-0.00516665	0.0664435	0.0935147	0.00224383	1.39952	6960	CCDC22	0.128451437
GID4	ENSG00000141034).GENE.M1.singleton	17	18039464	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.356238	-0.0607593	0.773236	0.0940551	2.31E-05	0.999977	6984	GID4	0.047537881
CERS6	ENSG00000172292).GENE.M3.01	2	168456448	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0645798	-0.140439	0.011279	0.0952069	0.000704994	0.999295	7035	CERS6	0.146189851
DR1	ENSG00000117505).GENE.M3.singleton	1	93346645	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.356277	-0.77541	0.0628561	0.0957065	2.31E-05	0.999977	7053	DR1	0.374937858
SPNS1	ENSG00000169682).GENE.M3.0001	16	28974779	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0937516	-0.204625	0.0171218	0.0974601	0.000326971	0.999673	7140	SPNS1	0.339242991
FNTB	ENSG00000257365).GENE.M3.0001	14	64986953	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.119416	-0.261254	0.0224211	0.0989142	0.000199343	0.999801	7217	FNTB	0.522884536
EXOC1	ENSG00000090989).GENE.M1.singleton	4	55858323	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.251069	-0.0475719	0.549709	0.0994036	4.50E-05	0.999955	7246	EXOC1	0.027823343
CABIN1	ENSG00000099991).GENE.M3.0001	22	24035517	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0469793	-0.102915	0.00895649	0.0997364	0.00128479	0.998714	7262	CABIN1	0.042746662
PIKFYVE	ENSG00000115020).GENE.M3.01	2	208271519	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0234483	-0.00451303	0.0514097	0.100254	0.00528138	0.995153	7298	PIKFYVE	0.272586511
NCBP2	ENSG00000114503).GENE.M3.singleton	3	196937010	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.310525	-0.0603358	0.681385	0.100778	2.92E-05	0.999971	7322	NCBP2	0.179357159
MSTO1	ENSG00000125459).GENE.M3.1	1	155610248	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.029248	-0.00568979	0.0641858	0.100844	0.00336209	0.996627	7328	MSTO1	0.299444019
OLR1	ENSG00000173391).GENE.M3.singleton	12	10159879	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.354099	-0.782294	0.0740963	0.105059	2.19E-05	0.999978	7575	OLR1	0.270673481
LSS	ENSG00000160285).GENE.M3.1	21	46191103	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0180058	-0.0398226	0.00381107	0.105751	0.00871032	0.991495	7616	LSS	0.172193526
FZR1	ENSG00000105325).GENE.M3.singleton	19	3522989	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.176791	-0.391797	0.0382146	0.107048	9.12E-05	0.999909	7692	FZR1	0.065880986
ZW10	ENSG00000086827).GENE.M3.singleton	11	113733693	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.162607	-0.0357431	0.360958	0.108104	0.000102103	0.999898	7750	ZW10	0.403761718
AP5Z1	ENSG00000242802).GENE.M1.001	7	4775715	ref	M1.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0588631	-0.130694	0.0129677	0.108245	0.00077914	0.99922	7759	AP5Z1	0.003863955
CEBPA	ENSG00000245848).GENE.M1.singleton	19	33301337	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.481633	-1.0704	0.107137	0.108865	1.22E-05	0.999988	7795	CEBPA	0.344349112
DEF6	ENSG00000023892).GENE.M3.01	6	35297856	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0544466	-0.0121607	0.121054	0.109128	0.00105749	0.998941	7811	DEF6	0.016126046
ZNF740	ENSG00000139651).GENE.M3.0001	12	53181983	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.207403	-0.461796	0.0469897	0.110058	6.20E-05	0.999938	7858	ZNF740	0.482393878
NFYA	ENSG00000001167).GENE.M3.singleton	6	41079089	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.237142	-0.528408	0.0541237	0.110543	4.74E-05	0.999953	7892	NFYA	0.102947883
IREB2	ENSG00000136381).GENE.M3.01	15	78438337	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0397709	-0.0886613	0.00911943	0.110852	0.00168348	0.998314	7915	IREB2	0.097783804
RHOB	ENSG00000143878).GENE.M1.0001	2	20447465	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.559577	-1.24956	0.130411	0.111943	8.51E-06	0.999991	7978	RHOB	0.166125527
SOX13	ENSG00000143842).GENE.M3.1	1	204112915	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0269326	-0.060164	0.00629875	0.112181	0.0037	0.996946	7986	SOX13	0.237291004
EGLN2	ENSG00000269858).GENE.M3.01	19	40800572	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0463755	-0.103755	0.0110038	0.113172	0.00128114	1.00062	8035	EGLN2	0.291202226
PRDM10	ENSG00000170325).GENE.M1.0001	11	129902312	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.137437	-0.309217	0.0343438	0.116855	0.000136137	0.999864	8230	PRDM10	0.292533532
VPS51	ENSG00000149823).GENE.M1.0001	11	65096250	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.144686	-0.0362095	0.325582	0.116965	0.000122766	0.999877	8236	VPS51	0.012268294
CAB39	ENSG00000135932).GENE.M3.singleton	2	230760001	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.174508	-0.39272	0.0437033	0.117016	8.51E-05	0.999915	8240	CAB39	0.069553624
MBOAT7	ENSG00000125505).GENE.M1.singleton	19	54174043	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.322626	-0.0836693	0.728921	0.119626	2.55E-05	0.999974	8352	MBOAT7	0.156476049
SMAD7	ENSG00000101665).GENE.M3.0001	18	48921371	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.102721	-0.232122	0.0266793	0.11974	0.000239455	0.99976	8360	SMAD7	0.804362779
ZNF48	ENSG00000180035).GENE.M3.001	16	30395794	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.128166	-0.290131	0.0337998	0.120914	0.000153154	0.999847	8425	ZNF48	0.134053307
MTF1	ENSG00000188786).GENE.M3.01	1	37815135	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0785255	-0.177799	0.0207475	0.121059	0.000412057	0.999588	8431	MTF1	0.046890496
ZNF789	ENSG00000198556).GENE.M1.01	7	99476456	ref	M1.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0902862	-0.204569	0.0239963	0.121521	0.000307523	0.999692	8456	ZNF789	0.43015626
NFE2L2	ENSG00000116044).GENE.M3.01	2	177230784	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.0550607	-0.0146629	0.124784	0.121675	0.000835053	0.999164	8467	NFE2L2	0.08560992
SRP19	ENSG00000153037).GENE.M1.0001	5	112861376	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.281403	-0.0752264	0.638033	0.121975	3.16E-05	0.999968	8483	SRP19	0.01568638
TOP1	ENSG00000198900).GENE.M3.singleton	20	41029067	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.213682	-0.0572601	0.484624	0.122165	5.47E-05	0.999945	8495	TOP1	0.400257982
RTEL1	ENSG00000258366).GENE.M3.singleton	20	63659402	ref	M3.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.115081	-0.0309254	0.261088	0.122388	0.000188404	0.999812	8508	RTEL1	0.626566781
BPTF	ENSG00000171634).GENE.M1.0001	17	67825724	ref	M1.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.28093	-0.637402	0.0755427	0.12244	3.16E-05	0.999968	8512	BPTF	0.187143476
XBP1	ENSG00000100219).GENE.M3.1	22	28795174	ref	M3.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0226483	-0.0514133	0.00611675	0.122786	0.00488269	0.997095	8530	XBP1	0.096830138
TAF8	ENSG00000137413).GENE.M1.singleton	6	42050541	ref	M1.singleton	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	0.26062	-0.0714723	0.592713	0.124013	3.65E-05	0.999964	8586	TAF8	0.302442511
CITED2	ENSG00000164442).GENE.M3.0001	6	139373131	ref	M3.0001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.156237	-0.35591	0.0434358	0.125127	0.000100887	0.999899	8634	CITED2	0.406401616
NOMO1	ENSG00000103512).GENE.M1.1	16	14833851	ref	M1.1	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.018675	-0.0426778	0.00532778	0.127279	0.0070706	0.993225	8755	NOMO1	0.029427801
MTA2	ENSG00000149480).GENE.M3.001	11	62593874	ref	M3.001	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0624153	-0.142804	0.0179739	0.128073	0.00062234	0.999377	8799	MTA2	0.113459173
EEFSEC	ENSG00000132394).GENE.M3.01	3	128153507	ref	M3.01	30780_LDL_direct_inst_mean__RINT	UKB_Freeze_450_EUR	ADD-WGR-LR	-0.0301789	-0.0690847	0.00872681	0.128428	0.00266196	0.999162	8816	EEFSEC	0.259534642
